id,카테고리,퀴즈,보기1,보기2,정답,팁
1,투자지표,PER이 8배일 때 시장은 어떻게 해석할까요?,이익 대비 싸다(저평가일 수 있음),이익 대비 비싸지만 성장 기대가 반영됐다,이익 대비 싸다(저평가일 수 있음),"팁! PER은 주가 ÷ 이익이에요. 낮으면 저평가, 높으면 성장 기대가 반영돼요."
2,투자지표,PER이 12배일 때 시장은 어떻게 해석할까요?,이익 대비 싸다(저평가일 수 있음),이익 대비 비싸지만 성장 기대가 반영됐다,이익 대비 싸다(저평가일 수 있음),"팁! PER은 주가 ÷ 이익이에요. 낮으면 저평가, 높으면 성장 기대가 반영돼요."
3,투자지표,PER이 20배일 때 시장은 어떻게 해석할까요?,이익 대비 싸다(저평가일 수 있음),이익 대비 비싸지만 성장 기대가 반영됐다,이익 대비 비싸지만 성장 기대가 반영됐다,"팁! PER은 주가 ÷ 이익이에요. 낮으면 저평가, 높으면 성장 기대가 반영돼요."
4,투자지표,PER이 30배일 때 시장은 어떻게 해석할까요?,이익 대비 싸다(저평가일 수 있음),이익 대비 비싸지만 성장 기대가 반영됐다,이익 대비 비싸지만 성장 기대가 반영됐다,"팁! PER은 주가 ÷ 이익이에요. 낮으면 저평가, 높으면 성장 기대가 반영돼요."
5,투자지표,PER이 50배일 때 시장은 어떻게 해석할까요?,이익 대비 싸다(저평가일 수 있음),이익 대비 비싸지만 성장 기대가 반영됐다,이익 대비 비싸지만 성장 기대가 반영됐다,"팁! PER은 주가 ÷ 이익이에요. 낮으면 저평가, 높으면 성장 기대가 반영돼요."
6,투자지표,PER이 8배일 때 시장은 어떻게 해석할까요?,이익 대비 싸다(저평가일 수 있음),이익 대비 비싸지만 성장 기대가 반영됐다,이익 대비 싸다(저평가일 수 있음),"팁! PER은 주가 ÷ 이익이에요. 낮으면 저평가, 높으면 성장 기대가 반영돼요."
7,투자지표,PER이 12배일 때 시장은 어떻게 해석할까요?,이익 대비 싸다(저평가일 수 있음),이익 대비 비싸지만 성장 기대가 반영됐다,이익 대비 싸다(저평가일 수 있음),"팁! PER은 주가 ÷ 이익이에요. 낮으면 저평가, 높으면 성장 기대가 반영돼요."
8,투자지표,PER이 20배일 때 시장은 어떻게 해석할까요?,이익 대비 싸다(저평가일 수 있음),이익 대비 비싸지만 성장 기대가 반영됐다,이익 대비 비싸지만 성장 기대가 반영됐다,"팁! PER은 주가 ÷ 이익이에요. 낮으면 저평가, 높으면 성장 기대가 반영돼요."
9,투자지표,PER이 30배일 때 시장은 어떻게 해석할까요?,이익 대비 싸다(저평가일 수 있음),이익 대비 비싸지만 성장 기대가 반영됐다,이익 대비 비싸지만 성장 기대가 반영됐다,"팁! PER은 주가 ÷ 이익이에요. 낮으면 저평가, 높으면 성장 기대가 반영돼요."
10,투자지표,PER이 50배일 때 시장은 어떻게 해석할까요?,이익 대비 싸다(저평가일 수 있음),이익 대비 비싸지만 성장 기대가 반영됐다,이익 대비 비싸지만 성장 기대가 반영됐다,"팁! PER은 주가 ÷ 이익이에요. 낮으면 저평가, 높으면 성장 기대가 반영돼요."
11,투자지표,PER이 8배일 때 시장은 어떻게 해석할까요?,이익 대비 싸다(저평가일 수 있음),이익 대비 비싸지만 성장 기대가 반영됐다,이익 대비 싸다(저평가일 수 있음),"팁! PER은 주가 ÷ 이익이에요. 낮으면 저평가, 높으면 성장 기대가 반영돼요."
12,투자지표,PER이 12배일 때 시장은 어떻게 해석할까요?,이익 대비 싸다(저평가일 수 있음),이익 대비 비싸지만 성장 기대가 반영됐다,이익 대비 싸다(저평가일 수 있음),"팁! PER은 주가 ÷ 이익이에요. 낮으면 저평가, 높으면 성장 기대가 반영돼요."
13,투자지표,PER이 20배일 때 시장은 어떻게 해석할까요?,이익 대비 싸다(저평가일 수 있음),이익 대비 비싸지만 성장 기대가 반영됐다,이익 대비 비싸지만 성장 기대가 반영됐다,"팁! PER은 주가 ÷ 이익이에요. 낮으면 저평가, 높으면 성장 기대가 반영돼요."
