카테고리,퀴즈,보기1,보기2,정답,힌트
투자지표,PER이 업계 평균보다 낮으면 보통 어떤 의미일까요?,상대적으로 저평가일 수 있다,항상 고평가 신호다,1,팁!: PER=주가÷이익. 업종 평균과 비교해 해석해요.
투자지표,PER이 업계 평균보다 높을 때는 보통 어떻게 보나요?,성장 기대가 반영됐을 수 있다,항상 저평가다,1,팁!: 고PER=성장 기대 반영 가능.
투자지표,PBR이 1 미만이면 보통 어떤 뜻일까요?,순자산가치보다 싸게 거래될 수 있다,항상 프리미엄 상태다,1,팁!: PBR=주가÷순자산.
투자지표,PBR이 높은 기업을 볼 때 함께 봐야 할 지표는?,ROE 등 수익성 지표,배당락 여부,1,팁!: 높은 ROE는 높은 PBR을 정당화하기도 해요.
투자지표,ROE가 높다는 건 무엇을 잘한다는 뜻일까요?,자본을 효율적으로 굴린다,부채를 전혀 쓰지 않는다,1,팁!: ROE=순이익÷자기자본.
투자지표,ROE가 낮은 기업을 볼 때 우선 떠올릴 수 있는 건?,자본 효율이 낮다,성장률이 매우 높다,1,팁!: 낮은 ROE=자본 활용이 비효율적일 수 있음.
투자지표,ROA와 ROE의 차이를 잘 설명한 것은?,"ROA는 자산 효율, ROE는 자본 효율",둘 다 같은 뜻,1,팁!: 부채비중이 ROE에 영향을 줘요.
투자지표,EPS가 꾸준히 증가한다면 일반적으로?,이익 창출력이 개선되고 있다,주가가 반드시 하락한다,1,팁!: EPS=주당순이익.
투자지표,EPS가 줄었을 때 확인해야 할 것은?,이익 감소나 주식 수 증가 여부,PER의 정의,1,팁!: 자사주 발행·실적 둔화 등 원인 확인.
투자지표,순이익률이 하락하는 기업은 보통 무엇을 점검해야 할까요?,"원가 상승이나 판가, 경쟁 요인",배당락일,1,팁!: 이익률 하락=수익성 악화 가능.
투자지표,영업이익률이 높다는 건 보통 어떤 의미일까요?,본업에서 돈을 잘 번다,재무손익이 크다,1,팁!: 영업활동 효율.
