id,카테고리,난이도,퀴즈,보기1,보기2,정답,힌트
1,심리/매크로,E,주변이 다 산다고 덩달아 사는 행동은?,군중심리,리스크 회피,1,"힌트! 군중심리는 버블 형성의 촉매가 되기도. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
2,투자지표,M,H기업 부채비율이 높지만 금융업입니다. 어떤 해석이 맞을까요?,업종 특성상 일반 제조업과 단순 비교는 곤란,부채비율이 높으면 무조건 위험하다,1,힌트! 금융업은 레버리지 구조가 높습니다. 업종 특성을 고려해 해석. 업계 평균·성장성·재무 구조를 함께 보세요.
3,시장상식,M,실적은 무난하지만 가이던스를 하향했습니다. 반응은?,향후 전망 악화로 주가 압박,가이던스는 의미 없다,1,힌트! ‘미래 전망’은 현재 주가에 큰 영향. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
4,투자지표,M,G기업은 EPS가 늘었지만 주가는 제자리입니다. 가장 타당한 해석은?,기대에 이미 반영됐거나 가이던스가 약했다,EPS 증가면 항상 즉시 급등한다,1,힌트! 주가는 ‘예상 대비’에 반응. 가이던스/매크로/밸류 부담도 영향. 업계 평균·성장성·재무 구조를 함께 보세요.
5,시장상식,M,실적은 무난하지만 가이던스를 하향했습니다. 반응은?,향후 전망 악화로 주가 압박,가이던스는 의미 없다,1,힌트! ‘미래 전망’은 현재 주가에 큰 영향. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
6,심리/매크로,H,국제 유가 급등 시 수혜를 볼 가능성이 큰 업종은?,석유·가스 기업,항공사,1,"힌트! 비용 측면에서 항공/운송은 부담↑. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
7,배당,E,"배당수익률 6%, 업계 평균 2%입니다. 어떤 해석이 맞을까요?",업계 대비 배당 매력 높음,업계 대비 배당이 부족,1,"힌트! 2~4% 준수, 5%↑ 고배당으로 보기도 하나, 재무 건전성도 함께 확인. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다."
8,심리/매크로,E,금리 급등 시 어떤 스타일이 상대적으로 불리할까요?,성장주,가치주,1,"힌트! 할인율↑ → 미래이익 비중 큰 성장주에 부담. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
9,투자지표,M,H기업 부채비율이 높지만 금융업입니다. 어떤 해석이 맞을까요?,업종 특성상 일반 제조업과 단순 비교는 곤란,부채비율이 높으면 무조건 위험하다,1,힌트! 금융업은 레버리지 구조가 높습니다. 업종 특성을 고려해 해석. 업계 평균·성장성·재무 구조를 함께 보세요.
10,기본개념,E,액면분할을 실시했습니다. 일반적 효과는?,"주식 수↑, 주당 가격↓(총가치 동일)","주식 수↓, 주당 가격↑(총가치 증가)",1,힌트! 파이를 더 잘게 나누는 개념. 기업 가치 총액은 동일. 거래 활성화 효과가 나타나기도. 예: 분할 후 유통주식수 증가로 거래가 활발해질 수 있습니다.
11,차트/기술,M,주가가 200일선 위에서 9개월 연속 유지되었습니다. 해석은?,장기 상승 추세 유지 가능성이 크다,즉각 하락 반전 신호,1,힌트! 장기 이평 위 ‘장기간’ 체류는 추세 강도 시사. 거래량/뉴스 병행 확인. 예: 강세장에서는 RSI가 높아도 상승세가 이어질 수 있습니다.
12,배당,E,배당락일 다음 날 주가는 보통 어떻게 되나요?,배당금만큼 하락할 수 있음(시장 상황에 따라 달라짐),배당락과 무관하게 급등,1,힌트! 권리 분리로 가격 조정 발생 가능. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다.
13,심리/매크로,H,달러 강세가 이어지면 일반적으로 유리한 쪽은?,수출기업,수입기업,1,"힌트! 달러 강세 시 해외 매출 환산 이익↑(수출 유리), 수입 비용↑(수입 불리). 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
14,시장상식,M,실적은 무난하지만 가이던스를 하향했습니다. 반응은?,향후 전망 악화로 주가 압박,가이던스는 의미 없다,1,힌트! ‘미래 전망’은 현재 주가에 큰 영향. 예: 어닝 서프라이즈 후 단기 급등이 나오는 경우가 있습니다.
15,심리/매크로,H,금리 급등 시 어떤 스타일이 상대적으로 불리할까요?,성장주,가치주,1,"힌트! 할인율↑ → 미래이익 비중 큰 성장주에 부담. 예: 달러 강세는 수출기업 유리, 수입기업 부담입니다."
16,배당,E,미국 기업의 일반적인 배당 관행은?,분기배당,연 1회 배당,1,"힌트! 미국=분기배당 일반적, 한국=연 1회 많음. 예: 배당귀족주는 장기간 배당을 늘린 기업군입니다."
17,투자지표,E,D기업은 최근 5년 연속 자유현금흐름(FCF)이 플러스입니다. 투자자 입장에서는?,배당·자사주매입 등 주주환원 여력이 크다,현금이 부족해 성장 투자가 어렵다,1,힌트! FCF=영업현금-투자지출. 장기간 플러스는 재무 체력과 유연성을 의미. 업계 평균·성장성·재무 구조를 함께 보세요.
